,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
9,10," Altuve, J",HOU, ,514888,2B,154,638,86,200,40,4,15,66,33,67,38,13,.313,.353,.459,.812,8,9,3,6,293,59,17,198,199,0.99,2227,689
44,45," Machado, M",BAL, ,592518,3B,162,633,102,181,30,1,35,86,70,111,20,8,.286,.359,.502,.861,2,4,2,4,318,66,17,187,177,1.06,2789,713
33,34," Cespedes, Y",NYM, ,493316,LF,159,633,101,184,42,6,35,105,33,141,7,5,.291,.328,.542,.870,5,5,0,5,343,83,14,170,157,1.08,2722,676
2,53," Calhoun, K",LAA, ,594777,RF,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.731,1,5,2,4,266,51,6,165,152,1.09,2557,686
15,66," Dozier, B",MIN, ,572821,2B,157,628,101,148,39,4,28,77,61,148,12,4,.236,.307,.444,.751,2,7,0,8,279,71,10,144,206,0.70,2833,704
41,42," Cano, R",SEA, ,429664,2B,156,624,82,179,34,1,21,79,43,107,2,6,.287,.334,.446,.779,5,3,0,4,278,56,26,240,128,1.88,2445,674
24,25," Kinsler, I",DET, ,435079,2B,154,624,94,185,35,7,11,73,43,80,10,6,.296,.342,.428,.770,0,3,0,5,267,53,13,151,228,0.66,2526,675
23,24," Donaldson, J",TOR, ,518626,3B,158,620,122,184,41,2,41,123,73,133,6,0,.297,.371,.568,.939,0,6,2,10,352,84,16,184,147,1.25,2817,711
39,40," Arenado, N",COL, ,571448,3B,157,616,97,177,43,4,42,130,34,110,2,5,.287,.323,.575,.898,13,4,0,11,354,89,17,153,204,0.75,2322,665
1,2," Gordon, D",MIA, ,543829,2B,145,615,88,205,24,8,4,46,25,91,58,20,.333,.359,.418,.776,2,2,6,5,257,36,6,229,107,2.14,2248,653
43,44," Blackmon, C",COL, ,453568,CF,157,614,93,176,31,9,17,58,46,112,43,13,.287,.347,.450,.797,2,13,5,4,276,57,4,158,181,0.87,2727,682
35,36," Abreu, J",CWS, ,547989,1B,154,613,88,178,34,3,30,101,39,140,0,0,.290,.347,.502,.850,11,15,0,1,308,67,16,182,130,1.40,2526,668
4,5," Bogaerts, X",BOS, ,593428,SS,156,613,84,196,35,3,7,81,32,101,10,2,.320,.355,.421,.776,1,3,3,3,258,45,16,203,135,1.50,2530,654
14,15," Fielder, P",TEX, ,425902,DH,158,613,78,187,28,0,23,98,64,88,0,0,.305,.378,.463,.841,14,11,0,5,284,51,21,207,157,1.32,2483,693
25,26," Markakis, N",ATL, ,455976,RF,156,612,73,181,38,1,3,53,70,83,2,1,.296,.370,.376,.746,11,3,0,1,230,42,17,228,138,1.65,2711,686
1,52," Escobar, A",KC, ,444876,SS,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.614,1,8,11,5,196,28,10,218,188,1.16,2311,662
40,41," Eaton, A",CWS, ,594809,CF,153,610,98,175,28,9,14,56,58,131,18,8,.287,.361,.431,.792,2,14,5,2,263,51,5,187,129,1.45,2785,689
6,7," Pollock, A",ARI, ,572041,CF,157,609,111,192,39,6,20,76,53,89,39,7,.315,.367,.498,.865,0,2,0,9,303,65,19,206,150,1.37,2361,673
12,63," Pujols, A",LAA, ,405395,DH,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787,10,6,0,3,289,62,15,199,202,0.99,2514,661
21,22," Hosmer, E",KC, ,543333,1B,158,599,98,178,33,5,18,93,61,108,7,3,.297,.363,.459,.822,6,3,1,3,275,56,16,211,122,1.73,2557,667
32,33," Betts, M",BOS, ,605141,RF,145,597,92,174,42,8,18,77,46,82,21,6,.291,.341,.479,.820,1,2,3,6,286,68,2,140,212,0.66,2634,654
47,48," Martinez, J",DET, ,502110,RF,158,596,93,168,33,2,38,102,53,178,3,2,.282,.344,.535,.879,7,5,0,3,319,73,11,110,154,0.71,2605,657
13,14," Revere, B",TOR, ,519184,LF,152,592,84,181,22,7,2,45,32,64,31,7,.306,.342,.377,.719,0,2,5,3,223,31,5,227,133,1.71,2252,634
17,18," Cruz, N",SEA, ,443558,DH,152,590,90,178,22,1,44,93,59,164,3,2,.302,.369,.566,.936,9,5,0,1,334,67,6,142,113,1.26,2632,655
29,30," Phillips, B",CIN, ,408252,2B,148,588,69,173,19,2,12,70,27,68,23,3,.294,.328,.395,.723,1,4,1,3,232,33,13,194,170,1.14,2168,623
8,59," Ramirez, A",CWS, ,493351,SS,154,583,54,145,33,0,10,62,31,68,17,7,.249,.285,.357,.642,2,1,1,6,208,43,18,230,165,1.39,2185,622
42,43," Marte, S",PIT, ,516782,LF,153,579,84,166,30,2,19,81,27,123,30,10,.287,.337,.444,.780,3,19,3,5,257,51,14,196,116,1.69,2281,633
20,21," Trout, M",LAA, ,545361,CF,159,575,104,172,32,6,41,90,92,158,11,7,.299,.402,.590,.991,14,10,0,5,339,79,11,123,138,0.89,2980,682
26,27," Duffy, M",SF, ,622110,3B,149,573,77,169,28,6,12,77,30,96,12,0,.295,.334,.428,.762,0,5,2,2,245,46,22,212,122,1.74,2271,612
11,62," Plouffe, T",MIN, ,461858,3B,152,573,74,140,35,4,22,86,50,124,2,1,.244,.307,.435,.742,0,4,1,4,249,61,28,178,164,1.09,2403,632
36,37," Morales, K",KC, ,434778,DH,158,569,81,165,41,2,22,106,58,103,0,0,.290,.362,.485,.847,4,8,0,4,276,65,24,195,134,1.46,2442,639
38,39," Beltre, A",TEX, ,134181,3B,143,567,83,163,32,4,18,83,41,65,1,0,.287,.334,.453,.788,4,3,0,8,257,54,18,180,185,0.97,2288,619
3,4," Goldschmidt, P",ARI, ,502671,1B,159,567,103,182,38,2,33,110,118,151,21,5,.321,.435,.570,1.005,29,2,0,7,323,73,16,136,121,1.12,2917,695
31,32," McCutchen, A",PIT, ,457705,CF,157,566,91,165,36,3,23,96,98,133,11,5,.292,.401,.488,.889,12,12,0,9,276,62,9,131,155,0.85,2780,685
9,60," Gattis, E",HOU, ,594828,C,153,566,66,139,20,11,27,88,30,119,0,1,.246,.285,.463,.748,3,3,0,5,262,58,13,178,148,1.20,2102,604
16,17," Kipnis, J",CLE, ,543401,2B,141,565,86,171,43,7,9,52,57,107,12,8,.303,.372,.451,.823,6,9,4,6,255,59,5,175,127,1.38,2540,641
18,19," LeMahieu, D",COL, ,518934,2B,150,564,85,170,21,5,6,61,50,107,23,3,.301,.358,.388,.746,4,1,3,2,219,32,20,203,109,1.86,2451,620
5,6," Posey, B",SF, ,457763,C,150,557,74,177,28,0,19,95,56,52,2,0,.318,.379,.470,.849,10,3,0,7,262,47,17,186,166,1.12,2194,623
0,51," Garcia, A",CWS, ,541645,DH,148,553,66,142,17,2,13,59,36,141,7,7,.257,.309,.365,.675,3,8,0,4,202,32,13,175,112,1.56,2142,601
12,13," Cain, L",KC, ,456715,CF,140,551,101,169,34,6,16,72,37,98,28,6,.307,.361,.477,.838,4,12,0,4,263,56,16,157,147,1.07,2299,604
17,68," Santana, C",CLE, ,467793,1B,154,550,72,127,29,2,19,85,108,122,11,3,.231,.357,.395,.752,8,3,0,5,217,50,20,177,149,1.19,2863,666
46,47," Moustakas, M",KC, ,519058,3B,147,549,73,156,34,1,22,82,43,76,1,2,.284,.348,.470,.817,1,13,4,5,258,57,14,167,173,0.97,2435,614
3,54," Castellanos, N",DET, ,592206,3B,154,549,42,140,33,6,15,73,39,152,0,3,.255,.303,.419,.721,1,1,0,6,230,54,21,139,145,0.96,2317,595
34,35," Parra, G",BAL, ,467827,LF,155,547,83,159,36,5,14,51,28,92,14,4,.291,.328,.452,.780,3,5,4,5,247,55,8,169,144,1.17,2085,589
30,31," Heyward, J",STL, ,518792,RF,154,547,79,160,33,4,13,60,56,90,23,3,.293,.359,.439,.797,4,2,0,3,240,50,13,206,107,1.93,2348,610
8,9," Votto, J",CIN, ,458015,1B,158,545,95,171,33,2,29,80,143,135,11,3,.314,.459,.541,1.000,15,5,0,2,295,64,11,148,104,1.42,3020,695
7,58," Bautista, J",TOR, ,430832,RF,153,543,108,136,29,3,40,114,110,106,8,2,.250,.377,.536,.913,2,5,0,8,291,72,19,143,185,0.77,2741,666
48,49," Forsythe, L",TB, ,523253,2B,153,540,69,152,33,2,17,68,55,111,9,4,.281,.359,.444,.804,2,14,0,6,240,52,12,132,163,0.81,2540,615
5,56," Butler, B",OAK, ,456714,DH,151,538,63,135,28,1,15,65,52,101,0,0,.251,.323,.390,.713,4,7,0,4,210,44,26,195,137,1.42,2248,601
7,8," Escobar, Y",WSH, ,488862,3B,139,535,75,168,25,1,9,56,45,70,2,2,.314,.375,.415,.790,0,8,1,2,222,35,24,213,111,1.92,1991,591
11,12," Brantley, M",CLE, ,488726,LF,137,529,68,164,45,0,15,84,60,51,15,1,.310,.379,.480,.859,8,2,0,5,254,60,14,177,156,1.13,2149,596
15,16," Inciarte, E",ARI, ,542255,RF,132,524,73,159,27,5,6,45,26,58,21,10,.303,.338,.408,.747,0,4,2,5,214,38,8,194,128,1.52,1936,561
6,57," Rodriguez, A",NYY, ,121347,DH,151,523,83,131,22,1,33,86,84,145,4,0,.250,.356,.486,.842,5,6,0,7,254,56,17,152,119,1.28,2503,620
14,65," Hunter, T",MIN, ,116338,RF,139,521,67,125,22,0,22,81,35,105,2,5,.240,.293,.409,.702,1,6,0,5,213,44,14,174,136,1.28,2087,567
2,3," Harper, B",WSH, ,547180,RF,153,521,118,172,38,1,42,99,124,131,6,4,.330,.460,.649,1.109,15,5,0,4,338,81,15,128,109,1.17,2682,654
28,29," Burns, B",OAK, ,542993,CF,125,520,70,153,18,9,5,42,26,81,26,8,.294,.334,.392,.726,1,6,1,2,204,32,5,159,135,1.18,1943,555
45,46," Braun, R",MIL, ,460075,LF,140,506,87,144,27,3,25,84,54,115,24,4,.285,.356,.498,.854,4,4,0,3,252,55,20,168,102,1.65,2141,568
37,38," Prado, M",MIA, ,445988,3B,129,500,52,144,22,2,9,63,37,68,1,0,.288,.338,.394,.732,4,5,1,8,197,33,9,166,140,1.19,2157,551
49,50," Murphy, D",NYM, ,502517,2B,130,499,56,140,38,2,14,73,31,38,2,2,.281,.322,.449,.770,10,2,0,6,224,54,15,176,166,1.06,1891,538
22,23," Herrera, O",PHI, ,546318,CF,147,495,64,147,30,3,8,41,28,129,16,8,.297,.344,.418,.762,0,8,5,1,207,41,6,123,108,1.14,2155,537
4,55," Gose, A",DET, ,543238,CF,140,485,73,123,24,8,5,26,45,145,23,11,.254,.321,.367,.688,0,3,2,0,178,37,11,153,78,1.96,2131,535
19,20," Yelich, C",MIA, ,592885,CF,126,476,63,143,30,2,7,44,47,101,16,5,.300,.366,.416,.782,2,2,0,0,198,39,13,178,67,2.66,2125,525
10,61," Sandoval, P",BOS, ,467055,3B,126,470,43,115,25,1,10,47,25,73,0,0,.245,.292,.366,.658,1,7,1,2,172,36,14,174,125,1.39,1848,505
16,67," McCann, B",NYY, ,435263,C,135,465,68,108,15,1,26,94,52,97,0,0,.232,.320,.437,.756,3,11,0,7,203,42,7,124,150,0.83,2094,535
10,11," Peralta, D",ARI, ,444482,LF,149,462,61,144,26,10,17,78,44,107,9,4,.312,.371,.522,.893,2,4,0,7,241,53,7,144,81,1.78,1923,517
18,69," Morrison, L",SEA, ,489149,1B,146,457,47,103,15,3,17,54,47,81,8,4,.225,.302,.383,.685,5,4,1,2,175,35,7,145,138,1.05,1940,511
27,28," Cervelli, F",PIT, ,465041,C,130,451,56,133,17,5,7,43,46,94,1,1,.295,.370,.401,.771,1,8,4,1,181,29,12,150,91,1.65,2003,510
13,64," Martin, R",TOR, ,431145,C,129,441,76,106,23,2,23,77,53,106,4,5,.240,.329,.458,.787,1,8,0,5,202,48,22,159,97,1.64,2112,507
